Rank,Reduction_Method,Reduction_Description,Model,Model_Class,N_Components,Accuracy_Mean,Accuracy_Std,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC,CV1,CV2,CV3,CV4,CV5
129,pca_5,PCA-5,MLP_small,MLPClassifier,5,0.76,0.068,0.7215,0.7546,0.7373,0.73,0.816,0.7333,0.6667,0.8667,0.7333,0.8
130,none,No Reduction,GB_tuned,GradientBoostingClassifier,14,0.76,0.068,0.7345,0.7605,0.7425,0.74,0.758,0.8667,0.7333,0.6667,0.8,0.7333
131,none,No Reduction,RF_default,RandomForestClassifier,14,0.76,0.1083,0.7106,0.7455,0.7639,0.72,0.852,0.8667,0.6667,0.8667,0.6,0.8
132,selectkbest_f_classif_10,SelectKBest-f_classif-10,LGBM_default,LGBMClassifier,10,0.76,0.068,0.7074,0.7451,0.7617,0.72,0.796,0.6667,0.7333,0.8667,0.7333,0.8
133,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,XGB_default,XGBClassifier,5,0.76,0.068,0.7163,0.7502,0.7694,0.73,0.77,0.6667,0.8,0.7333,0.8667,0.7333
134,none,No Reduction,HistGB_tuned,HistGradientBoostingClassifier,14,0.76,0.068,0.7265,0.7579,0.7479,0.72,0.776,0.6667,0.7333,0.8667,0.7333,0.8
135,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,RF_default,RandomForestClassifier,5,0.76,0.0533,0.7261,0.7563,0.7617,0.73,0.8,0.8,0.6667,0.7333,0.8,0.8
136,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,RF_default,RandomForestClassifier,10,0.76,0.068,0.7037,0.7445,0.7664,0.71,0.852,0.8667,0.7333,0.8,0.6667,0.7333
137,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,DT_default,DecisionTreeClassifier,10,0.76,0.0904,0.7409,0.7631,0.7569,0.75,0.75,0.8,0.8,0.7333,0.6,0.8667
138,selectfrommodel_xgb_10,SelectFromModel-XGB-10,RF_tuned,RandomForestClassifier,10,0.76,0.0533,0.7135,0.7506,0.7587,0.71,0.852,0.7333,0.8,0.8,0.6667,0.8
139,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,DT_pruned,DecisionTreeClassifier,10,0.76,0.0904,0.7409,0.7631,0.7569,0.75,0.736,0.8,0.8,0.7333,0.6,0.8667
140,selectfrommodel_xgb_10,SelectFromModel-XGB-10,RF_default,RandomForestClassifier,10,0.76,0.0533,0.7135,0.7506,0.7587,0.71,0.832,0.7333,0.8,0.8,0.6667,0.8
141,none,No Reduction,RF_extratrees,ExtraTreesClassifier,14,0.76,0.068,0.7112,0.7472,0.774,0.72,0.88,0.8,0.7333,0.8667,0.6667,0.7333
142,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LGBM_default,LGBMClassifier,10,0.76,0.0904,0.6948,0.7394,0.6987,0.71,0.838,0.6,0.7333,0.8,0.8,0.8667
143,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,CatBoost_default,CatBoostClassifier,10,0.76,0.0533,0.6921,0.7394,0.7502,0.69,0.852,0.6667,0.7333,0.8,0.8,0.8
144,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,SVM_rbf_tuned,SVC,10,0.76,0.1436,0.7295,0.7573,0.7551,0.73,0.772,0.8,0.6667,0.9333,0.5333,0.8667
145,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,SVM_linear,SVC,10,0.76,0.08,0.7008,0.7431,0.7514,0.71,0.864,0.6667,0.6667,0.8667,0.8,0.8
